,epoch,train_loss,valid_loss,train_acc,valid_acc
0,0,0.6918588566780091,0.6856075184685844,0.52375,0.5920398009950248
1,1,0.6787472558021546,0.6749851107597351,0.59625,0.5920398009950248
2,2,0.6693308329582215,0.6683469840458461,0.59625,0.5920398009950248
3,3,0.6612266278266907,0.6623501437050956,0.59625,0.5920398009950248
4,4,0.6551840281486512,0.6559478981154305,0.59625,0.5920398009950248
5,5,0.6480697154998779,0.650007826941354,0.59625,0.5920398009950248
6,6,0.6408979415893554,0.6434694528579712,0.59625,0.5920398009950248
7,7,0.6338623976707458,0.6387102944510323,0.59625,0.5920398009950248
8,8,0.6275702881813049,0.633765459060669,0.59625,0.5920398009950248
9,9,0.6221045112609863,0.6279290318489075,0.59875,0.5970149253731343
10,10,0.6184707307815551,0.625549920967647,0.6175,0.6069651741293532
11,11,0.6152622079849244,0.6239152720996312,0.6225,0.6467661691542289
12,12,0.6131730365753174,0.6220520309039524,0.675,0.6517412935323383
13,13,0.6102343988418579,0.6206911206245422,0.675,0.6567164179104478
14,14,0.6080510592460633,0.6198381100382123,0.66375,0.6766169154228856
15,15,0.6071398019790649,0.6180436185428074,0.665,0.6666666666666666
16,16,0.604440245628357,0.6152511835098267,0.6675,0.681592039800995
17,17,0.6040105557441712,0.6152326038905552,0.67125,0.681592039800995
18,18,0.6014959597587586,0.613344635282244,0.69,0.6865671641791045
19,19,0.5986997318267823,0.610700181552342,0.68,0.6965174129353234
20,20,0.5960222160816193,0.6110227874347142,0.70375,0.6766169154228856
21,21,0.5930267131328583,0.6077444383076259,0.7025,0.6915422885572139
22,22,0.5907684338092803,0.6054525290216718,0.6975,0.6517412935323383
23,23,0.5884738004207611,0.604544426713671,0.70125,0.6965174129353234
24,24,0.585887244939804,0.6019604887281146,0.71,0.6467661691542289
25,25,0.5847475016117096,0.6011343130043575,0.7175,0.7114427860696517
26,26,0.5777122461795807,0.5979394912719727,0.715,0.6517412935323383
27,27,0.5764340531826019,0.5945051780768803,0.71375,0.7164179104477612
28,28,0.5753285193443298,0.59049939257758,0.7175,0.681592039800995
29,29,0.570552042722702,0.5912485548428127,0.72,0.7114427860696517
30,30,0.5709379684925079,0.5858060036386762,0.73,0.7014925373134329
31,31,0.566296569108963,0.5835109906537193,0.73125,0.6965174129353234
32,32,0.5667902863025666,0.5838284705366407,0.72,0.7164179104477612
33,33,0.5635827553272247,0.5809669664927891,0.735,0.6965174129353234
34,34,0.5595490765571595,0.5782500846045358,0.74,0.6965174129353234
35,35,0.5580971014499664,0.5758944068636213,0.7375,0.7064676616915423
36,36,0.5578886508941651,0.5758672186306545,0.73875,0.7064676616915423
37,37,0.5556673169136047,0.5757556898253304,0.7475,0.6915422885572139
38,38,0.5559311270713806,0.5772730537823269,0.7425,0.6915422885572139
39,39,0.5595031309127808,0.5760094055107662,0.71875,0.7213930348258707
40,40,0.552130230665207,0.5724387296608516,0.75125,0.7014925373134329
41,41,0.5503734648227692,0.5751143949372428,0.75,0.7114427860696517
42,42,0.5489612662792206,0.57143263731684,0.74125,0.7014925373134329
43,43,0.5460311913490296,0.5721026999609811,0.73625,0.7114427860696517
44,44,0.5472363257408142,0.5727935007640294,0.74875,0.7164179104477612
45,45,0.5461482918262481,0.569899035351617,0.74625,0.7014925373134329
46,46,0.5534512329101563,0.5765941653932843,0.74375,0.6965174129353234
47,47,0.5431145989894867,0.5707887070519584,0.7525,0.7114427860696517
48,48,0.5430126798152923,0.5709054640361241,0.75,0.7114427860696517
49,49,0.5427896213531495,0.5708775477749961,0.75125,0.6915422885572139
50,50,0.5415706622600556,0.5721597245761326,0.7375,0.7114427860696517
51,51,0.5437737035751343,0.5720574259757996,0.75875,0.7014925373134329
52,52,0.543456768989563,0.5717270800045559,0.745,0.7064676616915423
53,53,0.5405961203575135,0.5697283829961505,0.7425,0.7064676616915423
54,54,0.5409760308265686,0.5708246273653848,0.74875,0.7014925373134329
55,55,0.5399311888217926,0.5717378343854632,0.75875,0.7064676616915423
56,56,0.5396990966796875,0.5693783760070801,0.75625,0.6965174129353234
57,57,0.5390339028835297,0.5685092849390847,0.74875,0.6965174129353234
58,58,0.5394396102428436,0.5716277701514108,0.75875,0.7064676616915423
59,59,0.5385195636749267,0.5709636381694249,0.74875,0.6965174129353234
60,60,0.5380594086647034,0.5704608304159982,0.7475,0.7114427860696517
61,61,0.5360602939128876,0.5689840189048222,0.74875,0.7064676616915423
62,62,0.5356013917922974,0.5688460213797433,0.75,0.6965174129353234
63,63,0.5369179403781891,0.5692238594804492,0.74875,0.7164179104477612
64,64,0.5358295559883117,0.5710700026580265,0.75375,0.7064676616915423
65,65,0.5406304717063903,0.5756573336465018,0.7425,0.7014925373134329
66,66,0.5375722432136536,0.5691789856978825,0.7475,0.7114427860696517
67,67,0.53407994389534,0.5697069423539298,0.75375,0.7014925373134329
68,68,0.5349274218082428,0.569029267345156,0.75625,0.7014925373134329
69,69,0.5333038604259491,0.5690827284540448,0.7525,0.7014925373134329
70,70,0.5334673869609833,0.5682250814778464,0.75,0.7014925373134329
71,71,0.5323082053661347,0.5685647981507438,0.75375,0.7064676616915423
72,72,0.5332160067558288,0.5724804188523974,0.75625,0.7064676616915423
73,73,0.5328101694583893,0.570857550416674,0.75875,0.7064676616915423
74,74,0.5315100860595703,0.5699615861688342,0.76,0.7014925373134329
75,75,0.5308518648147583,0.5719054809638432,0.75625,0.7164179104477612
76,76,0.5331063616275787,0.5684909905706134,0.75125,0.7064676616915423
77,77,0.5313583934307098,0.569547985281263,0.755,0.7064676616915423
78,78,0.5308863973617554,0.5688916359628949,0.7525,0.7064676616915423
79,79,0.5306940519809723,0.5717722603252956,0.76,0.7064676616915423
80,80,0.5311724948883056,0.5705258846282959,0.755,0.6965174129353234
81,81,0.5302891039848328,0.5697328874043056,0.7575,0.7014925373134329
82,82,0.5303662049770356,0.5750451854297093,0.75875,0.7014925373134329
83,83,0.529112524986267,0.5704597319875445,0.755,0.6965174129353234
84,84,0.528479881286621,0.5701877347060612,0.75125,0.7114427860696517
85,85,0.528600332736969,0.570420925106321,0.76125,0.7014925373134329
86,86,0.5283430898189545,0.5705922799451011,0.75625,0.7014925373134329
87,87,0.5279772925376892,0.5712287979466575,0.755,0.7014925373134329
88,88,0.5284248733520508,0.5717176667281559,0.7575,0.7014925373134329
89,89,0.526852457523346,0.5707564098494393,0.75875,0.7014925373134329
90,90,0.5268422973155975,0.5720689765044621,0.7625,0.7014925373134329
91,91,0.52873615026474,0.5711137098925454,0.745,0.7014925373134329
92,92,0.5286472702026367,0.5726384179932731,0.75375,0.7014925373134329
93,93,0.5269367408752441,0.5715770593711308,0.755,0.7014925373134329
94,94,0.525664234161377,0.5754237430436271,0.75875,0.7014925373134329
95,95,0.5268783712387085,0.571494847536087,0.755,0.7064676616915423
96,96,0.5267715728282929,0.574370448078428,0.7475,0.7064676616915423
97,97,0.527407615184784,0.5730872622558049,0.76,0.7014925373134329
98,98,0.52378457903862,0.5724833650248391,0.75375,0.7064676616915423
99,99,0.5264775168895721,0.5714009233883449,0.75875,0.6965174129353234
100,100,0.5244379127025605,0.5723577184336526,0.75875,0.7014925373134329
101,101,0.5251360511779786,0.5867086010319846,0.76,0.681592039800995
102,102,0.5303689420223237,0.5732779673167637,0.755,0.6965174129353234
103,103,0.528744250535965,0.5700215441840035,0.75,0.7114427860696517
104,104,0.524952620267868,0.569998243025371,0.7625,0.7064676616915423
105,105,0.5235111749172211,0.5721607761723655,0.76,0.7014925373134329
106,106,0.5231240463256835,0.5716743043490818,0.76,0.7014925373134329
107,107,0.5229502356052399,0.5760031512805394,0.76375,0.7014925373134329
108,108,0.5267070496082306,0.5719861473355975,0.75125,0.7064676616915423
109,109,0.5233063852787018,0.5732595069067818,0.75875,0.7064676616915423
110,110,0.522701975107193,0.5796873314040047,0.7625,0.6865671641791045
111,111,0.5236166799068451,0.57096124121121,0.75125,0.7064676616915423
112,112,0.5238582932949066,0.5734384315354484,0.75,0.7064676616915423
113,113,0.5224864971637726,0.5738675253731864,0.765,0.6915422885572139
114,114,0.5210594773292542,0.5732509408678327,0.7475,0.7014925373134329
115,115,0.5211258959770203,0.5728465403829303,0.7575,0.6915422885572139
116,116,0.5205989265441895,0.5732350179127285,0.7575,0.6965174129353234
117,117,0.5201969289779663,0.5718233798231397,0.765,0.7014925373134329
118,118,0.5195930850505829,0.5738560855388641,0.75375,0.7064676616915423
119,119,0.5197681736946106,0.576474164213453,0.7625,0.6965174129353234
120,120,0.5248379957675934,0.572860836982727,0.7525,0.7064676616915423
121,121,0.5207173776626587,0.5734558020319257,0.75875,0.7064676616915423
122,122,0.521399747133255,0.5734325306756156,0.75375,0.7014925373134329
123,123,0.5188740217685699,0.5730802459376199,0.755,0.7014925373134329
124,124,0.518193531036377,0.5748789651053292,0.76625,0.6915422885572139
125,125,0.5217676782608032,0.5811227304594857,0.7525,0.681592039800995
126,126,0.5185991966724396,0.5737507769039699,0.7625,0.7014925373134329
127,127,0.5178605842590333,0.5761616953781673,0.76,0.6915422885572139
128,128,0.5174629020690918,0.576742729970387,0.76625,0.6915422885572139
129,129,0.5164455306529999,0.5748955437115261,0.7625,0.6965174129353234
130,130,0.5165876829624176,0.5763353109359741,0.75375,0.7014925373134329
131,131,0.5163899075984955,0.5753252676555088,0.76625,0.7014925373134329
132,132,0.5196652710437775,0.5758279051099505,0.75875,0.6915422885572139
133,133,0.515946420431137,0.5757216129984174,0.76875,0.6915422885572139
134,134,0.5169986724853516,0.576232658965247,0.75375,0.7014925373134329
135,135,0.5164932680130004,0.5740352102688381,0.76375,0.7014925373134329
136,136,0.5176125097274781,0.5750976417745862,0.75375,0.7014925373134329
137,137,0.5154595744609832,0.5759903405393872,0.7625,0.6965174129353234
138,138,0.5144556236267089,0.5748061537742615,0.7625,0.6965174129353234
139,139,0.5152396750450134,0.5753877758979797,0.76375,0.6965174129353234
140,140,0.5155391275882721,0.5852477252483368,0.76875,0.6865671641791045
141,141,0.5192087650299072,0.5782586463860103,0.77125,0.7014925373134329
142,142,0.5149070227146149,0.5777446244444165,0.76125,0.6915422885572139
143,143,0.5131231474876404,0.575390888111932,0.76875,0.6965174129353234
144,144,0.5150431680679322,0.5769446023872921,0.7575,0.7014925373134329
145,145,0.5175588071346283,0.576933000768934,0.755,0.7014925373134329
146,146,0.5149519968032837,0.5777584782668522,0.77,0.6965174129353234
147,147,0.5123536705970764,0.5738219576222556,0.76625,0.7014925373134329
148,148,0.5113098132610321,0.5831440474305835,0.77125,0.6965174129353234
149,149,0.515642043352127,0.5782302618026733,0.7575,0.6865671641791045
150,150,0.5122726356983185,0.5789625857557569,0.7675,0.6915422885572139
151,151,0.5131616234779358,0.5760596862861088,0.75875,0.7014925373134329
152,152,0.5127247071266174,0.5772137939929962,0.775,0.6965174129353234
153,153,0.5113758647441864,0.5762500379766736,0.7625,0.7014925373134329
154,154,0.5116431164741516,0.5853558310440609,0.76625,0.6915422885572139
155,155,0.5106181514263153,0.5784532598086766,0.76375,0.6965174129353234
156,156,0.5111942160129547,0.577608334166663,0.75875,0.7014925373134329
157,157,0.5132708764076233,0.584206542798451,0.76,0.681592039800995
158,158,0.5087024152278901,0.5783799801553998,0.7625,0.7014925373134329
159,159,0.5111757218837738,0.5788292629378182,0.76125,0.7014925373134329
160,160,0.5108398830890656,0.5772575012275151,0.7625,0.7014925373134329
161,161,0.5091655218601226,0.5797565238816398,0.77,0.7064676616915423
162,162,0.5082058954238892,0.5831598086016518,0.765,0.6766169154228856
163,163,0.507971441745758,0.5792494756834847,0.765,0.7014925373134329
164,164,0.5081223893165588,0.5843018250805991,0.76625,0.6865671641791045
165,165,0.5071722066402435,0.5787106965269361,0.76625,0.7014925373134329
166,166,0.5114839470386505,0.5812055681432996,0.77,0.6915422885572139
167,167,0.508504912853241,0.5791785418987274,0.7675,0.7014925373134329
168,168,0.5057408022880554,0.5877809737409864,0.7675,0.6865671641791045
169,169,0.5080755198001862,0.5809648547853742,0.76625,0.7014925373134329
170,170,0.5106233382225036,0.5899877761091504,0.7725,0.6915422885572139
171,171,0.5068065655231476,0.580317463193621,0.7625,0.7014925373134329
172,172,0.5089211857318878,0.5826497205666133,0.77875,0.7014925373134329
173,173,0.5061201536655426,0.5823406449386052,0.77875,0.6965174129353234
174,174,0.5055323147773743,0.5861712268420628,0.76875,0.6865671641791045
175,175,0.5083337163925171,0.5878455340862274,0.76625,0.6865671641791045
176,176,0.5075587105751037,0.5828262269496918,0.77,0.6965174129353234
177,177,0.5058530187606811,0.5811536014080048,0.7725,0.7014925373134329
178,178,0.5055830538272857,0.5812129548617772,0.77,0.7014925373134329
179,179,0.5040737104415893,0.5832718993936267,0.7675,0.6965174129353234
180,180,0.5045817303657532,0.5863320103713444,0.76375,0.6965174129353234
181,181,0.5038163268566132,0.5818584816796439,0.77,0.7014925373134329
182,182,0.5047608149051667,0.5815620379788535,0.77375,0.7014925373134329
183,183,0.5086022055149079,0.5809492511408669,0.76,0.6965174129353234
184,184,0.5036049830913544,0.5840307431561607,0.77375,0.6915422885572139
185,185,0.503530844449997,0.5868630153792245,0.775,0.6965174129353234
186,186,0.5028793537616729,0.5845783054828644,0.765,0.6965174129353234
187,187,0.501679505109787,0.5828519250665393,0.7775,0.6965174129353234
188,188,0.5111307430267334,0.5850792058876583,0.755,0.7114427860696517
189,189,0.5009617233276367,0.5885978085654122,0.76875,0.6965174129353234
190,190,0.5040328919887542,0.5866129440920693,0.77375,0.6965174129353234
191,191,0.5021848285198212,0.5817344784736633,0.7725,0.6965174129353234
192,192,0.5013022089004516,0.5889458017689841,0.77125,0.6965174129353234
193,193,0.5038597917556763,0.5828077835696084,0.765,0.7114427860696517
194,194,0.503004093170166,0.5875063027654376,0.77125,0.7014925373134329
195,195,0.503170269727707,0.582768338067191,0.77,0.6965174129353234
196,196,0.5012685060501099,0.5818463691643306,0.7725,0.7014925373134329
197,197,0.5009001278877259,0.5924648131643023,0.76,0.6865671641791045
198,198,0.5022584080696106,0.5839385219982692,0.775,0.7064676616915423
199,199,0.5009512448310852,0.5821217724255153,0.7725,0.6965174129353234
